Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
10	5	combined	Drop	0	0	0	0
10	6	combined	Drop	0	0	0	0
10	7	combined	Drop	0	0	0	0
10.5	0	combined	Drop	0	0	0	0
10.5	1	combined	Drop	0	0	0	0
10.5	2	combined	Drop	0	0	0	0
10.5	3	combined	Drop	0	0	0	0
10.5	4	combined	Drop	0	0	0	0
10.5	5	combined	Drop	0	0	0	0
10.5	6	combined	Drop	0	0	0	0
10.5	7	combined	Drop	0	0	0	0
11	0	combined	Drop	0	0	0	0
11	1	combined	Drop	0	0	0	0
11	2	combined	Drop	0	0	0	0
11	3	combined	Drop	0	0	0	0
11	4	combined	Drop	0	0	0	0
11	5	combined	Drop	0	0	0	0
11	6	combined	Drop	0	0	0	0
11	7	combined	Drop	0	0	0	0
11.5	0	combined	Drop	0	0	0	0
11.5	1	combined	Drop	0	0	0	0
11.5	2	combined	Drop	0	0	0	0
11.5	3	combined	Drop	0	0	0	0
11.5	4	combined	Drop	0	0	0	0
11.5	5	combined	Drop	0	0	0	0
11.5	6	combined	Drop	0	0	0	0
11.5	7	combined	Drop	0	0	0	0
12	0	combined	Drop	0	0	0	0
12	1	combined	Drop	0	0	0	0
12	2	combined	Drop	0	0	0	0
12	3	combined	Drop	0	0	0	0
12	4	combined	Drop	0	0	0	0
12	5	combined	Drop	0	0	0	0
12	6	combined	Drop	0	0	0	0
12	7	combined	Drop	0	0	0	0
12.5	0	combined	Drop	0	0	0	0
12.5	1	combined	Drop	0	0	0	0
12.5	2	combined	Drop	0	0	0	0
12.5	3	combined	Drop	0	0	0	0
12.5	4	combined	Drop	0	0	0	0
12.5	5	combined	Drop	0	0	0	0
12.5	6	combined	Drop	0	0	0	0
12.5	7	combined	Drop	0	0	0	0
13	0	combined	Drop	0	0	0	0
13	1	combined	Drop	0	0	0	0
13	2	combined	Drop	0	0	0	0
13	3	combined	Drop	0	0	0	0
13	4	combined	Drop	0	0	0	0
13	5	combined	Drop	0	0	0	0
13	6	combined	Drop	0	0	0	0
13	7	combined	Drop	0	0	0	0
13.5	0	combined	Drop	0	0	0	0
13.5	1	combined	Drop	0	0	0	0
13.5	2	combined	Drop	0	0	0	0
13.5	3	combined	Drop	0	0	0	0
13.5	4	combined	Drop	0	0	0	0
13.5	5	combined	Drop	0	0	0	0
13.5	6	combined	Drop	0	0	0	0
13.5	7	combined	Drop	0	0	0	0
14	0	combined	Drop	0	0	0	0
14	1	combined	Drop	0	0	0	0
14	2	combined	Drop	0	0	0	0
14	3	combined	Drop	0	0	0	0
14	4	combined	Drop	0	0	0	0
14	5	combined	Drop	0	0	0	0
14	6	combined	Drop	0	0	0	0
14	7	combined	Drop	0	0	0	0
14.5	0	combined	Drop	0	0	0	0
14.5	1	combined	Drop	0	0	0	0
14.5	2	combined	Drop	0	0	0	0
14.5	3	combined	Drop	0	0	0	0
14.5	4	combined	Drop	0	0	0	0
14.5	5	combined	Drop	0	0	0	0
14.5	6	combined	Drop	0	0	0	0
14.5	7	combined	Drop	0	0	0	0
15	0	combined	Drop	0	0	0	0
15	1	combined	Drop	0	0	0	0
15	2	combined	Drop	0	0	0	0
15	3	combined	Drop	0	0	0	0
15	4	combined	Drop	0	0	0	0
15	5	combined	Drop	0	0	0	0
15	6	combined	Drop	0	0	0	0
15	7	combined	Drop	0	0	0	0
15.5	0	combined	Drop	0	0	0	0
15.5	1	combined	Drop	0	0	0	0
15.5	2	combined	Drop	0	0	0	0
15.5	3	combined	Drop	0	0	0	0
15.5	4	combined	Drop	0	0	0	0
15.5	5	combined	Drop	0	0	0	0
15.5	6	combined	Drop	0	0	0	0
15.5	7	combined	Drop	0	0	0	0
16	0	combined	Drop	0	0	0	0
16	1	combined	Drop	0	0	0	0
16	2	combined	Drop	0	0	0	0
16	3	combined	Drop	0	0	0	0
16	4	combined	Drop	0	0	0	0
16	5	combined	Drop	0	0	0	0
16	6	combined	Drop	0	0	0	0
16	7	combined	Drop	0	0	0	0
16.5	0	combined	Drop	0	0	0	0
16.5	1	combined	Drop	0	0	0	0
16.5	2	combined	Drop	0	0	0	0
16.5	3	combined	Drop	0	0	0	0
16.5	4	combined	Drop	0	0	0	0
16.5	5	combined	Drop	0	0	0	0
16.5	6	combined	Drop	0	0	0	0
16.5	7	combined	Drop	0	0	0	0
17	0	combined	Drop	0	0	0	0
17	1	combined	Drop	0	0	0	0
17	2	combined	Drop	0	0	0	0
17	3	combined	Drop	0	0	0	0
17	4	combined	Drop	0	0	0	0
17	5	combined	Drop	0	0	0	0
17	6	combined	Drop	0	0	0	0
17	7	combined	Drop	0	0	0	0
17.5	0	combined	Drop	0	0	0	0
17.5	1	combined	Drop	0	0	0	0
17.5	2	combined	Drop	0	0	0	0
17.5	3	combined	Drop	0	0	0	0
17.5	4	combined	Drop	0	0	0	0
17.5	5	combined	Drop	0	0	0	0
17.5	6	combined	Drop	0	0	0	0
17.5	7	combined	Drop	0	0	0	0
18	0	combined	Drop	0	0	0	0
18	1	combined	Drop	0	0	0	0
18	2	combined	Drop	0	0	0	0
18	3	combined	Drop	0	0	0	0
18	4	combined	Drop	0	0	0	0
18	5	combined	Drop	0	0	0	0
18	6	combined	Drop	0	0	0	0
18	7	combined	Drop	0	0	0	0
18.5	0	combined	Drop	0	0	0	0
18.5	1	combined	Drop	0	0	0	0
18.5	2	combined	Drop	0	0	0	0
18.5	3	combined	Drop	0	0	0	0
18.5	4	combined	Drop	0	0	0	0
18.5	5	combined	Drop	0	0	0	0
18.5	6	combined	Drop	0	0	0	0
18.5	7	combined	Drop	0	0	0	0
19	0	combined	Drop	0	0	0	0
19	1	combined	Drop	0	0	0	0
19	2	combined	Drop	0	0	0	0
19	3	combined	Drop	0	0	0	0
19	4	combined	Drop	0	0	0	0
19	5	combined	Drop	0	0	0	0
19	6	combined	Drop	0	0	0	0
19	7	combined	Drop	0	0	0	0
19.5	0	combined	Drop	0	0	0	0
19.5	1	combined	Drop	0	0	0	0
19.5	2	combined	Drop	0	0	0	0
19.5	3	combined	Drop	0	0	0	0
19.5	4	combined	Drop	0	0	0	0
19.5	5	combined	Drop	0	0	0	0
19.5	6	combined	Drop	0	0	0	0
19.5	7	combined	Drop	0	0	0	0
20	0	combined	Drop	0	0	0	0
20	1	combined	Drop	0	0	0	0
20	2	combined	Drop	0	0	0	0
20	3	combined	Drop	0	0	0	0
20	4	combined	Drop	0	0	0	0
20	5	combined	Drop	0	0	0	0
20	6	combined	Drop	0	0	0	0
20	7	combined	Drop	0	0	0	0
20.5	0	combined	Drop	0	0	0	0
20.5	1	combined	Drop	0	0	0	0
20.5	2	combined	Drop	0	0	0	0
20.5	3	combined	Drop	0	0	0	0
20.5	4	combined	Drop	0	0	0	0
20.5	5	combined	Drop	0	0	0	0
20.5	6	combined	Drop	0	0	0	0
20.5	7	combined	Drop	0	0	0	0
21	0	combined	Drop	0	0	0	0
21	1	combined	Drop	0	0	0	0
21	2	combined	Drop	0	0	0	0
21	3	combined	Drop	0	0	0	0
21	4	combined	Drop	0	0	0	0
21	5	combined	Drop	0	0	0	0
21	6	combined	Drop	0	0	0	0
21	7	combined	Drop	0	0	0	0
21.5	0	combined	Drop	0	0	0	0
21.5	1	combined	Drop	0	0	0	0
21.5	2	combined	Drop	0	0	0	0
21.5	3	combined	Drop	0	0	0	0
21.5	4	combined	Drop	0	0	0	0
21.5	5	combined	Drop	0	0	0	0
21.5	6	combined	Drop	0	0	0	0
21.5	7	combined	Drop	0	0	0	0
22	0	combined	Drop	0	0	0	0
22	1	combined	Drop	0	0	0	0
22	2	combined	Drop	0	0	0	0
22	3	combined	Drop	0	0	0	0
22	4	combined	Drop	0	0	0	0
22	5	combined	Drop	0	0	0	0
22	6	combined	Drop	0	0	0	0
22	7	combined	Drop	0	0	0	0
22.5	0	combined	Drop	0	0	0	0
22.5	1	combined	Drop	0	0	0	0
22.5	2	combined	Drop	0	0	0	0
22.5	3	combined	Drop	0	0	0	0
22.5	4	combined	Drop	0	0	0	0
22.5	5	combined	Drop	0	0	0	0
22.5	6	combined	Drop	0	0	0	0
22.5	7	combined	Drop	0	0	0	0
23	0	combined	Drop	0	0	0	0
23	1	combined	Drop	0	0	0	0
23	2	combined	Drop	0	0	0	0
23	3	combined	Drop	0	0	0	0
23	4	combined	Drop	0	0	0	0
23	5	combined	Drop	0	0	0	0
23	6	combined	Drop	0	0	0	0
23	7	combined	Drop	0	0	0	0
23.5	0	combined	Drop	0	0	0	0
23.5	1	combined	Drop	0	0	0	0
23.5	2	combined	Drop	0	0	0	0
23.5	3	combined	Drop	0	0	0	0
23.5	4	combined	Drop	0	0	0	0
23.5	5	combined	Drop	0	0	0	0
23.5	6	combined	Drop	0	0	0	0
23.5	7	combined	Drop	0	0	0	0
24	0	combined	Drop	0	0	0	0
24	1	combined	Drop	0	0	0	0
24	2	combined	Drop	0	0	0	0
24	3	combined	Drop	0	0	0	0
24	4	combined	Drop	0	0	0	0
24	5	combined	Drop	0	0	0	0
24	6	combined	Drop	0	0	0	0
24	7	combined	Drop	0	0	0	0
24.5	0	combined	Drop	0	0	0	0
24.5	1	combined	Drop	0	0	0	0
24.5	2	combined	Drop	0	0	0	0
24.5	3	combined	Drop	0	0	0	0
24.5	4	combined	Drop	0	0	0	0
24.5	5	combined	Drop	0	0	0	0
24.5	6	combined	Drop	0	0	0	0
24.5	7	combined	Drop	0	0	0	0
25	0	combined	Drop	0	0	0	0
25	1	combined	Drop	0	0	0	0
25	2	combined	Drop	0	0	0	0
25	3	combined	Drop	0	0	0	0
25	4	combined	Drop	0	0	0	0
25	5	combined	Drop	0	0	0	0
25	6	combined	Drop	0	0	0	0
25	7	combined	Drop	0	0	0	0
25.5	0	combined	Drop	0	0	0	0
25.5	1	combined	Drop	0	0	0	0
25.5	2	combined	Drop	0	0	0	0
25.5	3	combined	Drop	0	0	0	0
25.5	4	combined	Drop	0	0	0	0
25.5	5	combined	Drop	0	0	0	0
25.5	6	combined	Drop	0	0	0	0
25.5	7	combined	Drop	0	0	0	0
26	0	combined	Drop	0	0	0	0
26	1	combined	Drop	0	0	0	0
26	2	combined	Drop	0	0	0	0
26	3	combined	Drop	0	0	0	0
26	4	combined	Drop	0	0	0	0
26	5	combined	Drop	0	0	0	0
26	6	combined	Drop	0	0	0	0
26	7	combined	Drop	0	0	0	0
26.5	0	combined	Drop	0	0	0	0
26.5	1	combined	Drop	0	0	0	0
26.5	2	combined	Drop	0	0	0	0
26.5	3	combined	Drop	0	0	0	0
26.5	4	combined	Drop	0	0	0	0
26.5	5	combined	Drop	0	0	0	0
26.5	6	combined	Drop	0	0	0	0
26.5	7	combined	Drop	0	0	0	0
27	0	combined	Drop	0	0	0	0
27	1	combined	Drop	0	0	0	0
27	2	combined	Drop	0	0	0	0
27	3	combined	Drop	0	0	0	0
