Time	Node	Type	Packets	
26	2	CacheHits	0
26	2	CacheMisses	127
26	3	CacheHits	0
26	3	CacheMisses	124
26	4	CacheHits	0
26	4	CacheMisses	124
27	0	CacheHits	0
27	0	CacheMisses	146
27	1	CacheHits	0
27	1	CacheMisses	125
27	2	CacheHits	0
27	2	CacheMisses	123
27	3	CacheHits	0
27	3	CacheMisses	126
27	4	CacheHits	0
27	4	CacheMisses	126
28	0	CacheHits	0
28	0	CacheMisses	147
28	1	CacheHits	0
28	1	CacheMisses	92
28	2	CacheHits	0
28	2	CacheMisses	92
28	3	CacheHits	0
28	3	CacheMisses	91
28	4	CacheHits	0
28	4	CacheMisses	91
29	0	CacheHits	0
29	0	CacheMisses	146
29	1	CacheHits	0
29	1	CacheMisses	111
29	2	CacheHits	0
29	2	CacheMisses	112
29	3	CacheHits	0
29	3	CacheMisses	113
29	4	CacheHits	0
29	4	CacheMisses	113
30	0	CacheHits	0
30	0	CacheMisses	147
30	1	CacheHits	0
30	1	CacheMisses	92
30	2	CacheHits	0
30	2	CacheMisses	91
30	3	CacheHits	0
30	3	CacheMisses	92
30	4	CacheHits	0
30	4	CacheMisses	92
31	0	CacheHits	0
31	0	CacheMisses	146
31	1	CacheHits	0
31	1	CacheMisses	96
31	2	CacheHits	0
31	2	CacheMisses	96
31	3	CacheHits	0
31	3	CacheMisses	96
31	4	CacheHits	0
31	4	CacheMisses	96
32	0	CacheHits	0
32	0	CacheMisses	147
32	1	CacheHits	0
32	1	CacheMisses	130
32	2	CacheHits	0
32	2	CacheMisses	130
32	3	CacheHits	0
32	3	CacheMisses	130
32	4	CacheHits	0
32	4	CacheMisses	130
33	0	CacheHits	0
33	0	CacheMisses	146
33	1	CacheHits	0
33	1	CacheMisses	83
33	2	CacheHits	0
33	2	CacheMisses	83
33	3	CacheHits	0
33	3	CacheMisses	83
33	4	CacheHits	0
33	4	CacheMisses	83
34	0	CacheHits	0
34	0	CacheMisses	146
34	1	CacheHits	0
34	1	CacheMisses	123
34	2	CacheHits	0
34	2	CacheMisses	123
34	3	CacheHits	0
34	3	CacheMisses	121
34	4	CacheHits	0
34	4	CacheMisses	121
35	0	CacheHits	0
35	0	CacheMisses	147
35	1	CacheHits	0
35	1	CacheMisses	109
35	2	CacheHits	0
35	2	CacheMisses	109
35	3	CacheHits	0
35	3	CacheMisses	110
35	4	CacheHits	0
35	4	CacheMisses	110
36	0	CacheHits	0
36	0	CacheMisses	146
36	1	CacheHits	0
36	1	CacheMisses	106
36	2	CacheHits	0
36	2	CacheMisses	106
36	3	CacheHits	0
36	3	CacheMisses	107
36	4	CacheHits	0
36	4	CacheMisses	107
37	0	CacheHits	0
37	0	CacheMisses	147
37	1	CacheHits	0
37	1	CacheMisses	111
37	2	CacheHits	0
37	2	CacheMisses	111
37	3	CacheHits	0
37	3	CacheMisses	109
37	4	CacheHits	0
37	4	CacheMisses	109
38	0	CacheHits	0
38	0	CacheMisses	146
38	1	CacheHits	0
38	1	CacheMisses	119
38	2	CacheHits	0
38	2	CacheMisses	119
38	3	CacheHits	0
38	3	CacheMisses	121
38	4	CacheHits	0
38	4	CacheMisses	121
39	0	CacheHits	0
39	0	CacheMisses	147
39	1	CacheHits	0
39	1	CacheMisses	83
39	2	CacheHits	0
39	2	CacheMisses	83
39	3	CacheHits	0
39	3	CacheMisses	83
39	4	CacheHits	0
39	4	CacheMisses	83
40	0	CacheHits	0
40	0	CacheMisses	146
40	1	CacheHits	0
40	1	CacheMisses	91
40	2	CacheHits	0
40	2	CacheMisses	91
40	3	CacheHits	0
40	3	CacheMisses	91
40	4	CacheHits	0
40	4	CacheMisses	91
41	0	CacheHits	0
41	0	CacheMisses	147
41	1	CacheHits	0
41	1	CacheMisses	95
41	2	CacheHits	0
41	2	CacheMisses	95
