Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.02994	0	1	0	LastDelay	0.0299368	29936.8	1	6
1.02994	0	1	0	FullDelay	0.0299368	29936.8	1	6
1.04238	0	1	1	LastDelay	0.0355512	35551.2	1	6
1.04238	0	1	1	FullDelay	0.0355512	35551.2	1	6
1.05741	0	1	2	LastDelay	0.0437595	43759.5	1	6
1.05741	0	1	2	FullDelay	0.0437595	43759.5	1	6
1.07263	0	1	3	LastDelay	0.0521541	52154.1	1	6
1.07263	0	1	3	FullDelay	0.0521541	52154.1	1	6
1.08349	0	1	4	LastDelay	0.0561821	56182.1	1	6
1.08349	0	1	4	FullDelay	0.0561821	56182.1	1	6
1.09895	0	1	5	LastDelay	0.0648187	64818.7	1	6
1.09895	0	1	5	FullDelay	0.0648187	64818.7	1	6
1.10885	0	1	6	LastDelay	0.0678887	67888.7	1	6
1.10885	0	1	6	FullDelay	0.0678887	67888.7	1	6
1.11901	0	1	7	LastDelay	0.0712243	71224.3	1	6
1.11901	0	1	7	FullDelay	0.0712243	71224.3	1	6
1.13001	0	1	8	LastDelay	0.0753984	75398.4	1	6
1.13001	0	1	8	FullDelay	0.0753984	75398.4	1	6
1.13985	0	1	9	LastDelay	0.0784084	78408.4	1	6
1.13985	0	1	9	FullDelay	0.0784084	78408.4	1	6
1.15593	0	1	10	LastDelay	0.087663	87663	1	6
1.15593	0	1	10	FullDelay	0.087663	87663	1	6
1.16601	0	1	11	LastDelay	0.0909185	90918.5	1	6
1.16601	0	1	11	FullDelay	0.0909185	90918.5	1	6
1.17597	0	1	12	LastDelay	0.0940479	94047.9	1	6
1.17597	0	1	12	FullDelay	0.0940479	94047.9	1	6
1.18588	0	1	13	LastDelay	0.0971372	97137.2	1	6
1.18588	0	1	13	FullDelay	0.0971372	97137.2	1	6
1.19587	0	1	14	LastDelay	0.100293	100293	1	6
1.19587	0	1	14	FullDelay	0.100293	100293	1	6
1.21498	0	1	15	LastDelay	0.112578	112578	1	6
1.21498	0	1	15	FullDelay	0.112578	112578	1	6
1.22803	0	1	16	LastDelay	0.118807	118807	1	6
1.22803	0	1	16	FullDelay	0.118807	118807	1	6
1.23943	0	1	17	LastDelay	0.123377	123377	1	6
1.23943	0	1	17	FullDelay	0.123377	123377	1	6
